,title,descriptions
NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,
NCT00090545-1,First Stage - Disease Progression,Description: The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
NCT00090545-2,Second Stage - Increased Accrual,Description: Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
D009026,mortality,
D064420,adverse drug events,
D003248,constipation,
D003681,dehydration,
D003643,death,
10005047,bladder infection,
10061229,lung infection,
D006454,hemoglobin,
D001416,back pain,
10006002,bone pain,
D018771,joint pain,
D063806,muscle pain,
10023030,ischemia cerebrovascular,
D006261,headache,
D006973,hypertension,
D007022,hypotension,
NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,
NCT00098254-1,BAY 43-9006 (Sorafenib),Description: Self administered oral doses at 400 mg twice a day with 250 ml (8 oz.) of water each morning and evening (i.e. 12-hourly) continuously in a 28 day cycle. Tablets may be taken with or without food.
D000740,anemia,
10011914,death nos,
D005221,fatigue,
10001551,alanine aminotransferase increased,
10001675,alkaline phosphatase increased,
10003481,aspartate aminotransferase increased,
10035528,platelet count decreased,
10020670,hypermagnesemia,
D034141,hypoalbuminemia,
10021028,hypomagnesemia,
D007010,hyponatremia,
D003221,confusion,
10065746,bronchopulmonary hemorrhage,
D001986,bronchospasm,
D003371,cough,
D004417,dyspnea,
D000860,hypoxia,
10054524,palmar-plantar erythrodysesthesia syndrome,
D014657,vasculitis,
NCT00112671,Sorafenib in Treating Patients With Advanced or Metastatic Cancer of the Urinary Tract,
NCT00112671-1,Treatment (Sorafenib Tosylate),Description: Patients receive oral sorafenib twice daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. sorafenib tosylate: Given orally laboratory biomarker analysis: Correlative studies
D009102,multiple organ failure,
NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,
NCT00126568-1,BAY 43-9006,Description: BAY 43-9006 (sorafenib) will be administered on a fixed daily oral dosing schedule of 400 mg twice daily. A cycle of therapy will be considered 28 days (4 weeks / 1 month).
10050068,edema limbs,
D008231,lymphopenia,
D058447,eye pain,
D005767,functional gastrointestinal disorders,
D000005,abdomen,
D001065,appendix,
D018450,disease progression,
D003645,death sudden,
D001037,aphasia,
D011030,pneumothorax,
D012141,infections upper respiratory,
D016769,embolism and thrombosis,
NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,
NCT00126594-1,Sorafenib Tosylate,Description: Arm I: Oral Sorafenib 400 mg twice daily on days 1-28.
NCT00126594-2,Sorafenib Tosylate Recombinant Interferon Alfa-2b,Description: Arm II: Sorafenib as in Arm I and low-dose Interferon alfa-2b 0.5 million units subcutaneously twice daily on days 1-28.
D010195,pancreatitis,
D001064,appendicitis,
D033461,hyperuricemia,
10040139,serum amylase increased,
10024574,lipase increased,
NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,
NCT00131911-1,All Patients,Description: Patients receive 400 mg oral sorafenib twice daily on days 1-28.
D002263,carboxyhemoglobin,
D007037,hypothyroidism,
10000060,abdominal distension,
D015746,abdominal pain,
D001201,ascites,
D003967,diarrhea,
10013781,dry mouth,
