Disease code,Weight,Group,Group_Description,Study,Study_Name,D_Name
D009026,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,mortality
D064420,9.09,NCT00090545-1,First Stage - Disease Progression,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,adverse drug events
D064420,25.0,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,adverse drug events
D003248,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,constipation
D003681,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,dehydration
D003643,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,death
10005047,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,bladder infection
10061229,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,lung infection
D006454,8.33,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,hemoglobin
D001416,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,back pain
10006002,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,bone pain
D018771,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,joint pain
D063806,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,muscle pain
10023030,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,ischemia cerebrovascular
D006261,4.17,NCT00090545-2,Second Stage - Increased Accrual,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,headache
D006973,4.55,NCT00090545-1,First Stage - Disease Progression,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,hypertension
D007022,4.55,NCT00090545-1,First Stage - Disease Progression,NCT00090545,A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer,hypotension
D064420,29.73,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,adverse drug events
D000740,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,anemia
10011914,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,death nos
D005221,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,fatigue
10061229,5.41,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,lung infection
10001551,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,alanine aminotransferase increased
10001675,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,alkaline phosphatase increased
10003481,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,aspartate aminotransferase increased
10035528,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,platelet count decreased
10020670,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hypermagnesemia
D034141,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hypoalbuminemia
10021028,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hypomagnesemia
D007010,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hyponatremia
D003221,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,confusion
10065746,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,bronchopulmonary hemorrhage
D001986,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,bronchospasm
D003371,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,cough
D004417,10.81,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,dyspnea
D000860,5.41,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hypoxia
10054524,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,palmar-plantar erythrodysesthesia syndrome
D006973,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,hypertension
D014657,2.7,NCT00098254-1,BAY 43-9006 (Sorafenib),NCT00098254,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,vasculitis
D064420,11.76,NCT00112671-1,Treatment (Sorafenib Tosylate),NCT00112671,Sorafenib in Treating Patients With Advanced or Metastatic Cancer of the Urinary Tract,adverse drug events
