
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
 ,Self administered oral doses at 400 mg twice a day with 250 ml (8 oz.) of water each morning and evening (i.e. 12-hourly) continuously in a 28 day cycle. Tablets may be taken with or without food.
Total serious adverse events,11/37 %29.73
Anemia,1/37 %2.7
Death NOS,1/37 %2.7
Fatigue,1/37 %2.7
Lung infection,2/37 %5.41
Alanine aminotransferase increased,1/37 %2.7
Alkaline phosphatase increased,1/37 %2.7
Aspartate aminotransferase increased,1/37 %2.7
Platelet count decreased,1/37 %2.7
Hypermagnesemia,1/37 %2.7
Hypoalbuminemia,1/37 %2.7
Hypomagnesemia,1/37 %2.7
Hyponatremia,1/37 %2.7
Confusion,1/37 %2.7
Bronchopulmonary hemorrhage,1/37 %2.7
Bronchospasm,1/37 %2.7
Cough,1/37 %2.7
Dyspnea,4/37 %10.81
Hypoxia,2/37 %5.41
Palmar-plantar erythrodysesthesia syndrome,1/37 %2.7
Hypertension,1/37 %2.7
Vasculitis,1/37 %2.7

Sorafenib in Treating Patients With Advanced or Metastatic Cancer of the Urinary Tract(https://clinicaltrials.gov/show/NCT00112671)
 ,Treatment (Sorafenib Tosylate)
 ,Patients receive oral sorafenib twice daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. sorafenib tosylate: Given orally laboratory biomarker analysis: Correlative studies
Total serious adverse events,2/17 %11.76
Multi-organ failure,1/17 %5.88
Death NOS,1/17 %5.88

Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer(https://clinicaltrials.gov/show/NCT00126568)
 ,BAY 43-9006
 ,BAY 43-9006 (sorafenib) will be administered on a fixed daily oral dosing schedule of 400 mg twice daily. A cycle of therapy will be considered 28 days (4 weeks / 1 month).
Total serious adverse events,8/20 %40.0
Edema: limb,1/20 %5.0
Lymphopenia,1/20 %5.0
Pain - Eye,1/20 %5.0
Ileus GI (functional obstruction of bowel i.e. neuroconstipation),1/20 %5.0
Pain - Abdomen NOS(not otherwise specified),1/20 %5.0
Perforation GI - Appendix,1/20 %5.0
Death not associated with CTCAE term - Death NOS(not otherwise specified),1/20 %5.0
Death not associated with CTCAE term - Disease progression NOS(not otherwise specified),3/20 %15.0
Death not associated with CTCAE term - Sudden death,1/20 %5.0
Infection with unknown ANC(Absolute neutrophil count) - Lung (pneumonia),1/20 %5.0
Speech impairment (e.g. dysphasia or aphasia),1/20 %5.0
Dyspnea (shortness of breath),2/20 %10.0
Pneumothorax,1/20 %5.0
Pulmonary/Upper Respiratory,1/20 %5.0
Thrombosis/thrombus/embolism,1/20 %5.0

Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer(https://clinicaltrials.gov/show/NCT00126594)
 ,Sorafenib Tosylate,Sorafenib Tosylate Recombinant Interferon Alfa-2b
 ,Arm I: Oral Sorafenib 400 mg twice daily on days 1-28.,Arm II: Sorafenib as in Arm I and low-dose Interferon alfa-2b 0.5 million units subcutaneously twice daily on days 1-28.
Total serious adverse events,29/40 %72.5,30/40 %75.0
Death,27/40 %67.5,29/40 %72.5
Pancreatitis,1/40 %2.5,0/40 %0.0
Appendicitis,1/40 %2.5,0/40 %0.0
Hyperuricemia,6/40 %15.0,2/40 %5.0
Serum amylase increased,1/40 %2.5,0/40 %0.0
Lipase Increased,0/40 %0.0,1/40 %2.5

Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors(https://clinicaltrials.gov/show/NCT00131911)
 ,All Patients
 ,Patients receive 400 mg oral sorafenib twice daily on days 1-28.
Total serious adverse events,52/93 %55.91
Hemoglobin decreased,3/93 %3.23
Hypothyroidism,1/93 %1.08
Abdominal distension,1/93 %1.08
Abdominal pain,18/93 %19.35
Ascites,3/93 %3.23
Constipation,3/93 %3.23
Diarrhea,5/93 %5.38
Dry mouth,1/93 %1.08
Duodenal hemorrhage,1/93 %1.08
Duodenal perforation,1/93 %1.08
Duodenal ulcer,1/93 %1.08
Ear nose and throat examination abnormal,4/93 %4.3
Gastrointestinal disorder,2/93 %2.15
Intra-abdominal hemorrhage,1/93 %1.08
Lower gastrointestinal hemorrhage,1/93 %1.08
Mucositis oral,1/93 %1.08
Nausea,13/93 %13.98
Rectal fistula,1/93 %1.08
Small intestinal obstruction,3/93 %3.23
Small intestinal perforation,1/93 %1.08
Vomiting,8/93 %8.6
Chills,1/93 %1.08
Disease progression,1/93 %1.08
Edema limbs,3/93 %3.23
Fatigue,15/93 %16.13
Fever,4/93 %4.3
Localized edema,1/93 %1.08
Cholecystitis,1/93 %1.08
Gallbladder pain,1/93 %1.08
Hepatobiliary disease,1/93 %1.08
Hypersensitivity,1/93 %1.08
Bladder infection,1/93 %1.08
Pleural infection,1/93 %1.08
Pneumonia,1/93 %1.08
Sepsis,1/93 %1.08
Skin infection,1/93 %1.08
Alanine aminotransferase increased,1/93 %1.08
Alkaline phosphatase increased,3/93 %3.23
Aspartate aminotransferase increased,4/93 %4.3
Blood bilirubin increased,2/93 %2.15
Creatinine increased,1/93 %1.08
Leukocyte count decreased,1/93 %1.08
Lymphocyte count decreased,1/93 %1.08
Neutrophil count decreased,1/93 %1.08
Weight gain,1/93 %1.08
Weight loss,1/93 %1.08
Alkalosis,1/93 %1.08
Anorexia,10/93 %10.75
Blood glucose increased,2/93 %2.15
Dehydration,6/93 %6.45
Serum albumin decreased,3/93 %3.23
Serum calcium decreased,2/93 %2.15
Serum phosphate decreased,1/93 %1.08
Serum potassium decreased,3/93 %3.23
Serum potassium increased,3/93 %3.23
Serum sodium decreased,3/93 %3.23
Serum sodium increased,1/93 %1.08
Serum triglycerides increased,1/93 %1.08
